civ_name,role,name,hp,dps,dmg_crush,range,total_res,train_s
Macedonians,siege,Battering Ram,400,100,150,6.5,450,30
Macedonians,siege,Ramming Ship,800,123.333,50,12,175,18
Macedonians,siege,Siege Tower,500,5,2.5,55,800,40
Macedonians,citizen_infantry,Rhodian Slinger,50,9.24,1.21,45,60,7
Macedonians,siege,Bolt Shooter,200,40,0,80,500,20
Macedonians,siege,Bolt Shooter,200,40,0,80,500,20
Mauryans,siege,Battering Ram,400,100,150,6.5,450,30
Mauryans,hero,Chandragupta Maurya,1500,100,90,5,1000,50
Mauryans,champion_elephant,Indian War Elephant,1100,55,49.5,5,550,39.6
Mauryans,champion_infantry,Warrior,200,24,14,3,220,20
Ptolemies,siege,Siege Catapult,375,32.857,230,85,650,25
Ptolemies,siege,Siege Catapult,375,32.857,230,85,650,25
Ptolemies,siege,Juggernaut,4000,55,220,80,1200,60
Ptolemies,siege,Siege Ship,1600,55,220,80,400,28
Ptolemies,siege,Battering Ram,400,100,150,6.5,450,30
Ptolemies,hero,Ptolemy I,1500,100,90,5,1000,50
Ptolemies,siege,Ramming Ship,800,123.333,50,12,175,18
Ptolemies,champion_elephant,Towered War Elephant,900,45,40.5,5,450,32.4
Ptolemies,siege,Siege Tower,500,5,2.5,55,800,40
Ptolemies,citizen_infantry,Judean Slinger,50,8.4,1.1,45,100,10
Ptolemies,siege,Bolt Shooter,200,44,0,80,500,20
Ptolemies,siege,Bolt Shooter,200,44,0,80,500,20
Romans,siege,Siege Catapult,375,32.857,230,85,650,25
Romans,siege,Siege Catapult,375,32.857,230,85,650,25
Romans,siege,Siege Ship,1600,55,220,80,400,28
Romans,siege,Battering Ram,400,100,150,6.5,450,30
Romans,siege,Ramming Ship,800,123.333,50,12,175,18
Romans,siege,Siege Catapult,250,2,10,60,450,25
Romans,siege,Siege Catapult,250,2,10,60,450,25
Romans,siege,Bolt Shooter,200,40,0,80,500,20
Romans,siege,Bolt Shooter,200,40,0,80,500,20
Seleucids,siege,Siege Catapult,375,32.857,230,85,650,25
Seleucids,siege,Siege Catapult,375,32.857,230,85,650,25
Seleucids,siege,Siege Ship,1600,55,220,80,400,28
Seleucids,siege,Battering Ram,400,100,150,6.5,450,30
Seleucids,hero,Seleucus I,1500,100,90,5,1000,50
Seleucids,siege,Ramming Ship,800,123.333,50,12,175,18
Seleucids,champion_elephant,Armored War Elephant,1100,55,49.5,5,550,39.6
Seleucids,siege,Siege Tower,500,5,2.5,55,800,40
Spartans,siege,Battering Ram,400,100,150,6.5,450,30
Spartans,siege,Ramming Ship,800,123.333,50,12,175,18
Spartans,siege,Bolt Shooter,200,40,0,80,500,20
Spartans,siege,Bolt Shooter,200,40,0,80,500,20
