civ_name,role,name,hp,dps,range,total_res,dps_per_100res,hp_per_100res,walk,dmg_crush,bonuses
Gauls,champion_infantry,Champion Infantry Trumpeter,200,18,3,300,6,66.667,9.5,0,
Gauls,champion_cavalry,Gallic Noble Cavalry,260,17.6,4,330,5.333,78.788,18,0,BonusCavMelee:1.75x vs Cavalry
Germans,champion_cavalry,Cimbrian Noble Cavalry,260,24,4,330,7.273,78.788,18,0,
Germans,champion_infantry,Cimbri Raider,160,24,3,220,10.909,72.727,11.4,6,
Germans,champion_infantry,Cimbrian Clubman,100,12,3,100,12,100,11.4,7,
Germans,champion_infantry,Seeress,200,0,0,250,0,80,9,0,
Han,champion_infantry,Tiger Guard Spearman,200,18.5,4,220,8.409,90.909,9.5,0,BonusCavMelee:2.5x vs Cavalry
Han,champion_cavalry,Youzhou Cavalry,260,17.6,4,330,5.333,78.788,18,0,BonusCavMelee:1.75x vs Cavalry
Han,champion_cavalry,Han War Chariot,300,12,60,400,3,75,17,0,
Han,champion_infantry,Palace Guard Archer,120,11.52,60,220,5.236,54.545,10.3,0,
Han,champion_infantry,Champion Infantry Crossbowman,120,10,60,220,4.545,54.545,9.6,0,
Iberians,champion_infantry,Champion Swordsman,200,21.333,3,220,9.697,90.909,9.5,0,
Iberians,champion_cavalry,Champion Cavalry Javelineer,240,16.667,30,330,5.051,72.727,16.2,0,
Kushites,champion_elephant,Meroitic War Elephant,900,45,5,450,10,200,9,40.5,
Kushites,champion_infantry,Meroitic Temple Guard,200,24,3,220,10.909,90.909,9.5,6,
Kushites,champion_infantry,Napatan Temple Guard,200,21.333,3,220,9.697,90.909,9.5,0,
Kushites,champion_cavalry,Noble Cavalry,260,17.6,4,330,5.333,78.788,18,0,BonusCavMelee:1.75x vs Cavalry
Kushites,champion_infantry,Noble Archer,120,11.52,60,220,5.236,54.545,10.3,0,
Macedonians,champion_infantry,Macedonian Shield Bearer,220,20.35,4,220,9.25,100,9.5,0,BonusCavMelee:2.5x vs Cavalry
Macedonians,champion_infantry,Macedonian Shield Bearer,200,18.5,4,220,8.409,90.909,9.5,0,BonusCavMelee:2.5x vs Cavalry
Macedonians,champion_cavalry,Companion Cavalry,260,17.6,4,330,5.333,78.788,18,0,BonusCavMelee:1.75x vs Cavalry
Macedonians,champion_infantry,Champion Infantry Crossbowman,120,10,60,220,4.545,54.545,9.6,0,
Macedonians,champion_infantry,Thracian Black Cloak,200,10,5,220,4.545,90.909,9.5,0,
Mauryans,champion_elephant,Indian War Elephant,1100,55,5,550,10,200,9,49.5,
Mauryans,champion_infantry,Warrior,200,24,3,220,10.909,90.909,9.5,14,
Mauryans,champion_infantry,Maiden Guard,160,21.333,3,190,11.228,84.211,11.7,0,
Mauryans,champion_cavalry,War Chariot,300,12,60,400,3,75,17,0,
Mauryans,champion_infantry,Maiden Guard Archer,90,8.857,45,190,4.662,47.368,12.3,0,
Ptolemies,champion_elephant,Towered War Elephant,900,45,5,450,10,200,9,40.5,
Ptolemies,champion_cavalry,Royal Guard Cavalry,260,17.6,4,330,5.333,78.788,18,0,BonusCavMelee:1.75x vs Cavalry
Ptolemies,champion_infantry,Royal Guard Infantry,200,11.5,8,220,5.227,90.909,8.55,0,BonusCavMelee:2.5x vs Cavalry
Romans,champion_infantry,Praetorian Guard,180,33.333,3,220,15.151,81.818,9.5,0,
Romans,champion_infantry,Roman Centurion,140,26.667,3,220,12.121,63.636,9.5,0,
Romans,champion_infantry,Marian Legionary,200,24.667,3,220,11.212,90.909,9.5,0,
Romans,champion_cavalry,Consular Bodyguard,260,24,4,330,7.273,78.788,18,0,
Romans,champion_infantry,Italic Heavy Infantry,200,21.333,3,220,9.697,90.909,9.5,0,
Romans,champion_infantry,Marian Legionary,200,21.333,3,220,9.697,90.909,9.5,0,
Romans,champion_infantry,Roman Centurion,200,21.333,3,280,7.619,71.429,9.5,0,
Romans,champion_infantry,First Cohort Legionary,200,21.333,3,220,9.697,90.909,9.5,0,
Romans,champion_infantry,Gladiator Swordsman,100,10.667,3,110,9.697,90.909,13.3,0,
Romans,champion_infantry,Gladiator Spearman,100,8.5,4,110,7.727,90.909,14.25,0,BonusCavMelee:2.5x vs Cavalry
Seleucids,champion_elephant,Armored War Elephant,1100,55,5,550,10,200,9,49.5,
Seleucids,champion_infantry,Romanized Heavy Swordsman,200,21.333,3,220,9.697,90.909,9.5,0,
Seleucids,champion_cavalry,Seleucid Cataphract,260,17.6,7,340,5.176,76.471,14.4,0,BonusCavMelee:1.75x vs Cavalry
Seleucids,champion_cavalry,Scythed Chariot,300,12,60,400,3,75,17,0,
Seleucids,champion_infantry,Silver Shield,200,11.5,8,220,5.227,90.909,8.55,0,BonusCavMelee:2.5x vs Cavalry
Spartans,champion_infantry,Spartan Olympic Hoplite,240,24.667,4,220,11.212,109.091,9.5,0,BonusCavMelee:2.5x vs Cavalry
Spartans,champion_infantry,Spartan Hoplite,200,20.556,4,220,9.344,90.909,9.5,0,BonusCavMelee:2.5x vs Cavalry
Spartans,champion_infantry,Skiritai Commando,100,12.667,3,125,10.134,80,9.5,0,
Spartans,champion_infantry,Spartan Pikeman,200,11.5,8,220,5.227,90.909,8.55,0,BonusCavMelee:2.5x vs Cavalry
